Timestamp,How important are breasts to you when evaluating a potential romantic partner?  ,How important are buttocks to you when evaluating a potential romantic partner?  ,How important is intelligence to you in a partner?  ,How important is overall sexiness to you in a partner?,"To what extent do you agree with this statement: ""Everyone should have an equal chance and an equal say in society.""","To what extent do you agree with this statement: ""I like to possess things or achievements that impress others.""",What is your gender identity? ,What is your age? (Optional),What country are you from? (Optional),  What is your current relationship status? (Optional)  
8/30/2026 10:33:00,4,2,4,3,2,2,Male,,United Kingdom,Married
8/30/2026 10:36:28,1,1,4,4,5,2,Male,30,Germany,Single
8/30/2026 10:40:41,2,2,4,4,5,4,Male,19,United States,In a romantic relationship
8/30/2026 10:41:02,2,2,4,4,5,2,Male,59,Canada,Married
8/30/2026 10:50:14,3,3,4,3,2,2,Male,,,
8/30/2026 10:54:41,2,4,4,2,5,2,Male,32,Germany,Single
8/30/2026 11:09:51,4,2,4,5,5,5,Male,33,United States,Single
8/30/2026 11:11:33,3,2,4,4,1,3,Male,23,Spain,In a romantic relationship
8/30/2026 11:12:19,2,3,4,5,5,3,Male,62,Australia,Married
8/30/2026 11:22:42,2,1,5,3,5,2,Male,32,Germany,Single
8/30/2026 11:24:25,2,3,3,3,3,4,Male,23,United States,Single
8/30/2026 11:26:51,5,3,5,4,5,1,Male,33,Germany,Married
8/30/2026 11:29:13,4,3,4,3,5,4,Male,37,Peru,Single
8/30/2026 11:29:59,4,2,5,2,5,3,Male,26,United States,Single
8/30/2026 11:32:35,5,5,2,5,3,5,Male,35,,In a romantic relationship
8/30/2026 11:35:33,3,1,5,4,5,2,Male,18,United States,Single
8/30/2026 11:37:04,5,4,5,5,5,4,Male,26,India,In a romantic relationship
8/30/2026 11:40:05,3,4,5,4,5,3,Prefer not to say,29,United Kingdom,Single
8/30/2026 11:40:46,3,3,4,4,5,1,Male,41,Mauritius,Married
8/30/2026 11:41:09,4,3,4,5,4,3,Male,35,Mauritius,Single
8/30/2026 11:41:37,4,4,3,4,5,4,Male,28,United States,Single
8/30/2026 11:44:07,2,2,5,3,4,1,Male,,,
8/30/2026 11:45:03,1,1,3,3,5,3,Male,32,Mauritius,Single
8/30/2026 11:45:56,2,1,3,2,4,2,Male,24,Australia,Single
8/30/2026 11:49:18,5,1,5,5,5,5,Male,27,Mauritius,Single
8/30/2026 11:53:07,1,1,4,4,3,1,Male,19,Mauritius,Single
8/30/2026 11:57:48,4,4,4,4,4,3,Male,,Mauritius,Single
8/30/2026 12:00:23,5,5,5,2,5,1,Male,23,Mauritius,Single
8/30/2026 12:00:28,3,4,5,4,5,2,Male,31,United Kingdom,In a romantic relationship
8/30/2026 12:01:35,3,5,4,5,5,5,Male,24,Mauritius,In a romantic relationship
8/30/2026 12:05:32,5,4,4,3,1,5,Male,18,Mauritius,In a romantic relationship
8/30/2026 12:07:44,2,4,5,4,5,2,Male,27,Mauritius,Single
8/30/2026 12:11:04,3,3,5,4,5,2,Male,35,Mauritius,In a romantic relationship
8/30/2026 12:11:19,1,1,5,3,5,4,Trans Male,20,United States,In a romantic relationship
8/30/2026 12:13:14,3,5,4,3,5,2,Male,33,United States,Married
8/30/2026 12:15:53,1,1,5,2,5,2,Male,25,Mauritius,Single
8/30/2026 12:18:30,4,3,4,2,4,2,Male,31,Netherlands,Single
8/30/2026 12:19:51,3,3,5,3,4,4,Male,25,Mauritius,Single
8/30/2026 12:20:39,2,2,4,5,2,2,Male,29,United Kingdom,In a romantic relationship
8/30/2026 12:21:10,3,3,4,2,3,2,Male,,,Single
8/30/2026 12:33:04,2,4,4,3,3,3,Male,24,Portugal,In a romantic relationship
8/30/2026 12:34:36,2,2,5,3,3,3,Male,28,Mauritius,In a romantic relationship
8/30/2026 12:36:08,2,2,4,4,4,2,Male,28,Mauritius,Married
8/30/2026 12:40:03,5,5,5,5,1,5,Non-binary,45,Belarus,Married
8/30/2026 12:41:17,1,1,5,4,4,2,Male,,Mauritius,In a romantic relationship
8/30/2026 12:45:30,3,2,5,4,5,1,Male,31,Mauritius,Single
8/30/2026 12:46:42,3,4,5,4,5,2,Male,25,United Kingdom,In a romantic relationship
8/30/2026 12:48:23,3,3,4,3,4,5,Male,40,Mauritius,Single
8/30/2026 12:48:47,3,3,5,5,4,2,Male,,,In a romantic relationship
8/30/2026 12:53:02,2,3,4,4,5,4,Male,21,United States,Single
8/30/2026 12:53:32,2,4,4,3,5,2,Male,24,Germany,Single
8/30/2026 12:54:13,1,1,3,1,1,5,Prefer not to say,,,
8/30/2026 12:56:29,4,4,3,5,2,5,Male,,Mauritius,Single
8/30/2026 12:56:42,3,4,4,5,5,2,Male,,,
8/30/2026 12:57:24,2,1,5,3,4,4,Male,26,,Single
8/30/2026 12:59:55,5,4,5,5,5,5,Male,,,In a romantic relationship
8/30/2026 13:07:35,5,1,3,4,3,3,Male,,,Single
8/30/2026 13:11:04,1,1,3,2,5,3,Male,26,Mauritius,Single
8/30/2026 13:11:10,1,1,5,3,5,3,Male,,,In a romantic relationship
8/30/2026 13:12:44,5,4,4,5,5,4,Male,38,Russian Federation,In a romantic relationship
8/30/2026 13:15:30,2,2,5,4,4,3,Male,24,Mauritius,In a romantic relationship
8/30/2026 13:16:12,3,3,5,3,5,4,Male,27,United Kingdom,In a romantic relationship
8/30/2026 13:17:59,1,1,4,3,3,3,Male,,Mauritius,Single
8/30/2026 13:18:21,2,3,3,3,4,1,Male,27,Mauritius,Single
8/30/2026 13:18:41,3,4,5,4,1,3,Male,35,France,In a romantic relationship
8/30/2026 13:24:24,3,3,3,3,5,3,Male,25,Mauritius,Single
8/30/2026 13:25:31,3,4,5,2,4,2,Male,,Mauritius,Single
8/30/2026 13:26:40,2,1,5,2,5,2,Male,21,Mauritius,Single
8/30/2026 13:27:50,2,3,3,3,5,4,Male,37,Australia,Married
8/30/2026 13:27:52,2,5,5,5,1,1,Male,18,,In a romantic relationship
8/30/2026 13:30:44,3,3,5,4,4,2,Male,46,Mauritius,In a romantic relationship
8/30/2026 13:33:00,3,2,4,4,5,4,Male,,Mauritius,In a romantic relationship
8/30/2026 13:39:49,5,4,4,4,4,1,Prefer not to say,,,In a romantic relationship
8/30/2026 13:42:09,5,3,1,3,5,2,Male,27,Mauritius,Single
8/30/2026 13:44:25,1,1,4,2,5,2,Male,31,United States,Married
8/30/2026 13:54:09,1,1,5,2,4,2,Male,,Australia,In a romantic relationship
8/30/2026 13:54:18,2,3,5,3,4,5,Female,11,Afghanistan,Married
8/30/2026 13:59:09,2,4,5,4,3,4,Male,34,Mauritius,Married
8/30/2026 13:59:21,3,2,5,4,5,4,Male,31,Mauritius,Single
8/30/2026 14:02:40,2,2,4,4,5,3,Prefer not to say,20,Mauritius,Single
8/30/2026 14:04:10,1,2,4,3,5,5,Male,23,Australia,In a romantic relationship
8/30/2026 14:07:06,3,3,4,3,4,2,Male,44,Canada,Married
8/30/2026 14:09:41,2,2,4,4,4,2,Male,23,Mauritius,Single
8/30/2026 14:12:24,4,5,3,4,4,4,Male,29,Canada,Married
8/30/2026 14:16:31,3,3,5,5,5,1,Male,30,Mauritius,Single
8/30/2026 14:16:43,1,1,3,1,2,4,Male,23,,Single
8/30/2026 14:24:20,3,3,5,2,4,3,Male,29,,In a romantic relationship
8/30/2026 14:26:33,4,4,5,5,5,2,Male,29,Belgium,Married
8/30/2026 14:28:38,4,3,5,4,3,3,Male,20,Mauritius,In a romantic relationship
8/30/2026 14:31:08,1,1,3,4,5,1,Male,,,
8/30/2026 14:42:27,4,3,5,4,5,4,Male,,India,Single
8/30/2026 14:46:28,5,5,5,5,5,3,Male,32,Mauritius,Single
8/30/2026 14:47:03,2,1,4,3,3,2,Male,24,Mauritius,In a romantic relationship
8/30/2026 14:50:10,3,3,5,3,5,4,Male,21,Mauritius,Single
8/30/2026 14:52:10,4,2,5,4,5,2,Male,31,Mauritius,Single
8/30/2026 14:52:25,1,1,4,2,4,1,Male,40,United Kingdom,Married
8/30/2026 14:53:02,2,3,3,4,5,4,Male,22,Sweden,In a romantic relationship
8/30/2026 14:54:30,3,1,4,2,2,2,Male,78,Mauritius,Married
8/30/2026 14:56:02,1,1,2,2,1,2,Male,50,Germany,Single
8/30/2026 14:57:57,3,1,5,3,4,3,Male,31,Germany,Single
8/30/2026 15:01:23,4,4,5,4,5,2,Male,,Mauritius,Single
8/30/2026 15:07:17,5,4,5,4,4,3,Male,27,Poland,In a romantic relationship
8/30/2026 15:15:18,1,2,4,3,5,1,Male,19,United States,Single
8/30/2026 15:20:09,3,4,3,3,5,2,Male,,,Single
8/30/2026 15:22:47,4,3,5,4,4,3,Male,,,Married
8/30/2026 15:24:27,2,2,4,2,4,3,Male,,,Single
8/30/2026 15:26:50,3,5,4,4,5,4,Male,,,In a romantic relationship
8/30/2026 15:30:11,2,2,4,4,5,2,Male,23,United Kingdom,In a romantic relationship
8/30/2026 15:31:26,2,3,4,3,4,2,Male,48,Australia,Married
8/30/2026 15:33:04,3,3,5,2,5,1,Male,38,United Kingdom,Married
8/30/2026 15:36:21,3,2,3,4,2,5,Male,24,Netherlands,Single
8/30/2026 15:36:44,4,4,4,4,3,3,Male,17,Mauritius,In a romantic relationship
8/30/2026 15:40:06,3,3,4,4,5,4,Male,,Mauritius,Married
8/30/2026 15:40:17,5,4,5,4,4,2,Male,27,Mauritius,In a romantic relationship
8/30/2026 15:48:23,2,1,3,3,5,2,Male,59,United Kingdom,Married
8/30/2026 15:51:01,4,3,5,4,4,4,Male,,,Single
8/30/2026 15:52:45,1,1,3,2,5,2,Male,,Denmark,Single
8/30/2026 16:05:44,3,3,4,3,5,5,Male,18,Mauritius,Single
8/30/2026 16:06:18,2,3,3,3,3,3,Male,53,United States,In a romantic relationship
8/30/2026 16:07:35,2,3,4,3,5,3,Male,33,Canada,In a romantic relationship
8/30/2026 16:09:29,3,4,4,3,5,2,Male,32,Mauritius,Single
8/30/2026 16:10:06,3,3,5,3,5,2,Male,,Mauritius,Single
8/30/2026 16:11:03,5,5,1,5,1,5,faggot,69,Bahamas,Married
8/30/2026 16:11:24,4,4,4,5,4,5,Male,33,Mauritius,Single
8/30/2026 16:12:28,4,3,5,5,5,4,Male,30,United States,Married
8/30/2026 16:14:13,3,2,5,4,5,3,Male,24,Mauritius,Single
8/30/2026 16:21:50,1,1,5,3,4,2,Female,,,In a romantic relationship
8/30/2026 16:25:58,1,3,3,4,2,2,Male,20,,Single
8/30/2026 16:26:29,1,1,5,2,5,3,Prefer not to say,,,Single
8/30/2026 16:28:06,5,4,5,3,5,2,Male,36,Mauritius,Single
8/30/2026 16:35:51,4,2,3,4,5,2,Male,33,Canada,Married
8/30/2026 16:36:36,3,3,4,5,3,4,Male,29,Mauritius,In a romantic relationship
8/30/2026 16:40:22,3,3,4,4,5,3,Male,,,
8/30/2026 16:40:30,3,4,5,3,5,4,Male,23,Australia,Single
8/30/2026 16:45:07,3,3,5,4,5,5,Male,,,Single
8/30/2026 16:45:09,3,4,5,4,5,4,Male,23,,In a romantic relationship
8/30/2026 17:09:34,4,3,5,4,5,4,Male,23,United States,In a romantic relationship
8/30/2026 17:19:55,4,5,4,4,1,2,Male,31,Canada,Single
8/30/2026 17:21:47,4,3,2,2,2,2,Male,29,United States,Single
8/30/2026 17:22:36,2,1,4,3,5,3,Male,22,Australia,In a romantic relationship
8/30/2026 17:25:36,4,3,5,4,5,3,Male,,United Kingdom,Single
8/30/2026 17:26:53,3,2,4,4,3,2,Male,63,Mauritius,Single
8/30/2026 17:27:33,1,2,5,3,5,3,Male,27,United Kingdom,Single
8/30/2026 17:29:08,1,1,1,1,1,1,I am a GOD,40,Vatican City,Single
8/30/2026 17:38:03,4,3,5,4,2,3,Male,43,United States,Married
8/30/2026 17:40:08,3,3,5,4,4,4,Female,21,Hungary,Single
8/30/2026 17:40:58,3,3,4,4,5,4,Male,29,Netherlands,In a romantic relationship
8/30/2026 17:41:00,3,3,4,4,3,3,Male,25,,In a romantic relationship
8/30/2026 17:43:49,4,4,4,4,3,3,Male,,,
8/30/2026 17:46:31,4,2,5,4,5,5,Male,24,United States,In a romantic relationship
8/30/2026 17:47:43,4,2,5,2,5,4,Male,24,United Kingdom,In a romantic relationship
8/30/2026 17:48:24,4,2,4,4,4,3,Male,39,United States,Married
8/30/2026 17:52:19,3,3,4,4,5,2,Male,33,Mauritius,Married
8/30/2026 17:56:21,2,4,5,3,5,2,Male,43,United States,Married
8/30/2026 18:03:04,3,4,5,4,4,2,Male,46,Switzerland,Single
8/30/2026 18:10:42,4,5,4,5,5,2,Male,37,Australia,Married
8/30/2026 18:22:21,5,5,5,5,5,5,Male,37,,Single
8/30/2026 18:25:15,5,5,5,4,4,4,Female,,,In a romantic relationship
8/30/2026 18:26:27,3,3,5,4,5,3,Male,,Bulgaria,Single
8/30/2026 18:26:46,3,3,4,4,1,4,Male,66,United States,Single
8/30/2026 18:33:10,4,2,5,4,3,1,Male,,United States,In a romantic relationship
8/30/2026 18:36:38,4,2,5,4,4,2,Male,23,United Kingdom,In a romantic relationship
8/30/2026 18:36:40,2,5,4,5,5,4,Male,27,United States,In a romantic relationship
8/30/2026 18:41:52,4,3,3,2,4,2,Prefer not to say,,Venezuela,Single
8/30/2026 18:42:19,2,2,4,4,5,2,Male,27,Canada,Single
8/30/2026 18:42:53,4,2,5,4,1,5,Male,32,United Kingdom,Single
8/30/2026 18:45:34,4,3,2,4,4,3,Male,55,United Kingdom,Married
8/30/2026 18:47:52,4,2,5,4,5,3,Non-binary,38,United States,Married
8/30/2026 18:51:32,1,2,3,4,4,4,Male,27,United States,Single
8/30/2026 18:52:15,2,1,5,2,5,2,Male,23,United States,In a romantic relationship
8/30/2026 18:57:22,2,3,5,5,5,1,Non-binary,31,Germany,In a romantic relationship
8/30/2026 19:06:53,3,2,5,3,4,4,Male,44,United States,Married
8/30/2026 19:08:06,4,1,5,1,3,2,Male,,United Kingdom,Single
8/30/2026 19:14:28,3,4,4,3,5,2,Male,27,United States,Single
8/30/2026 19:14:51,2,2,5,5,3,3,Male,,,
8/30/2026 19:23:47,5,5,5,5,2,4,Male,30,Mauritius,Single
8/30/2026 19:25:20,3,4,5,3,5,3,Male,38,United States,Married
8/30/2026 19:32:01,4,5,4,4,3,2,Male,25,United States,Single
8/30/2026 19:41:21,3,3,3,3,3,3,Male,,,Single
8/30/2026 19:46:38,3,3,4,4,4,2,Male,,,Married
8/30/2026 19:52:42,4,1,4,4,3,2,Male,17,Canada,Single
8/30/2026 19:56:20,2,2,5,4,5,4,Female,17,Mauritius,Single
8/30/2026 20:00:14,4,4,4,4,3,4,Male,22,Malaysia,In a romantic relationship
8/30/2026 20:00:32,3,3,4,4,5,3,Male,,,Married
8/30/2026 20:03:02,2,4,5,3,4,3,Female,26,Mauritius,Single
8/30/2026 20:16:53,4,2,3,3,1,1,Male,22,Mauritius,Single
8/30/2026 20:17:25,2,4,4,5,5,2,Male,29,Mauritius,In a romantic relationship
8/30/2026 20:23:07,2,2,4,3,4,5,Male,,,Single
8/30/2026 20:34:53,4,2,5,2,4,2,Male,21,Mauritius,Single
8/30/2026 20:46:33,3,3,3,5,4,1,Male,,,In a romantic relationship
8/30/2026 20:53:34,2,3,4,3,4,3,Male,20,Mauritius,Single
8/30/2026 21:00:42,4,3,3,4,4,2,Male,,United States,Married
8/30/2026 21:10:50,2,2,4,4,4,2,Male,23,United Kingdom,Single
8/30/2026 21:13:11,1,1,5,5,1,1,Male,33,Mauritius,Single
8/30/2026 21:14:32,3,4,5,4,5,4,Male,,,In a romantic relationship
8/30/2026 21:40:02,3,3,4,3,4,1,Male,20,Mauritius,Single
8/30/2026 21:58:51,2,2,5,2,5,1,Male,54,United Kingdom,Single
8/30/2026 22:09:16,2,1,4,3,5,2,Male,45,United Kingdom,Single
8/30/2026 22:13:42,3,3,4,3,4,2,Male,32,Mauritius,Single
8/30/2026 22:23:35,3,2,5,4,3,3,Male,45,Croatia,Married
8/30/2026 22:25:16,3,3,4,3,5,4,Male,67,Botswana,Married
8/30/2026 22:27:58,1,1,4,2,5,3,Male,,Mauritius,In a romantic relationship
8/30/2026 23:12:03,5,4,2,5,2,3,Male,22,Spain,Single
8/30/2026 23:19:50,2,1,5,3,5,3,Male,55,United Kingdom,Married
8/30/2026 23:20:54,2,4,3,4,4,2,Male,47,Mauritius,In a romantic relationship
8/30/2026 23:23:18,2,1,5,3,5,2,Male,25,India,Single
8/30/2026 23:26:58,1,1,3,1,5,3,Male,26,Mauritius,Married
8/30/2026 23:37:41,5,4,5,4,5,1,Male,22,Pakistan,Single
8/31/2026 0:11:17,4,3,3,2,3,4,Male,23,United States,Married
8/31/2026 0:12:50,1,2,4,5,2,3,Male,25,Mauritius,Single
8/31/2026 0:21:17,3,3,5,5,5,5,Male,29,Mauritius,In a romantic relationship
8/31/2026 0:26:30,2,2,3,3,5,4,Male,25,United States,Single
8/31/2026 0:47:16,3,3,5,5,5,3,Male,,,Married
8/31/2026 0:52:54,1,4,4,3,5,3,Male,,United States,In a romantic relationship
8/31/2026 0:54:43,3,4,5,5,5,3,Male,,,In a romantic relationship
8/31/2026 1:06:59,2,3,5,4,5,2,Male,25,Australia,In a romantic relationship
8/31/2026 1:11:30,4,4,5,5,2,4,Male,21,Mauritius,Single
8/31/2026 1:23:36,2,2,4,3,4,4,Male,,,In a romantic relationship
8/31/2026 1:23:42,3,3,4,5,5,2,Male,37,United States,Married
8/31/2026 1:34:41,2,2,4,3,5,2,Male,28,Portugal,Single
8/31/2026 2:26:32,1,1,4,1,5,3,"Male (for more context: asexual heteroromantic and attracted to physical traits in an aesthetic, not sexual way, so while physical appearance is important to me, none of the questions about it reflected how my attraction works; I like when breasts are proportional to the rest of the body, for example, but they aren't important to me by themselves, and I feel nothing when looking at them)",,,Single
8/31/2026 3:09:42,3,4,3,4,4,3,Male,36,United States,Married
8/31/2026 3:24:49,4,4,5,5,5,3,Male,,,Single
8/31/2026 4:46:34,2,3,5,4,4,2,Male,37,United States,Married
8/31/2026 6:27:53,4,4,4,5,4,2,Male,27,,Married
8/31/2026 6:29:27,2,2,4,3,3,4,Male,,,
8/31/2026 7:44:50,2,1,2,2,5,2,Male,25,Mauritius,Single
8/31/2026 8:10:41,4,5,5,5,5,5,Male,,,Married
8/31/2026 8:15:40,2,2,5,3,5,2,Male,30,Mauritius,Married
8/31/2026 8:27:59,5,5,5,5,1,2,Male,26,Mauritius,In a romantic relationship
8/31/2026 8:57:32,2,2,4,3,3,2,Male,27,Mauritius,
8/31/2026 9:35:23,5,3,3,5,5,1,Male,44,Germany,Single
8/31/2026 9:42:34,2,2,4,2,5,2,Male,30,Mauritius,In a romantic relationship
8/31/2026 9:49:44,3,2,5,3,5,4,Male,43,Australia,In a romantic relationship
8/31/2026 10:47:35,4,4,4,4,5,3,Female,18,France,Single
8/31/2026 10:48:01,3,2,4,4,5,5,Prefer not to say,,,Single
8/31/2026 11:31:27,3,5,4,4,5,1,Male,28,Mauritius,In a romantic relationship
8/31/2026 12:18:27,5,4,5,3,4,1,Male,,,In a romantic relationship
8/31/2026 12:51:56,2,4,5,4,2,2,Male,37,Vietnam,Married
8/31/2026 13:20:48,2,2,4,3,4,4,Male,21,South Africa,Single
8/31/2026 14:53:18,4,3,4,4,3,4,Male,,United Kingdom,Married
8/31/2026 15:14:51,4,3,3,3,4,3,Male,,,
8/31/2026 16:14:14,2,3,3,4,4,5,Male,27,Mauritius,Single
8/31/2026 16:27:25,3,3,4,3,2,2,Male,29,Poland,Single
8/31/2026 16:34:18,2,2,4,4,5,3,Male,16,Russian Federation,Single
8/31/2026 16:43:02,2,5,3,4,1,3,Male,35,Mauritius,Single
8/31/2026 17:27:43,1,4,5,4,4,1,Male,29,Germany,Single
8/31/2026 17:46:02,3,3,2,3,4,5,Male,25,Malaysia,Single
8/31/2026 18:00:19,2,4,5,2,5,2,Male,,,Married
8/31/2026 18:08:24,2,3,4,4,5,3,Male,36,United States,Married
8/31/2026 18:20:53,2,3,5,3,2,4,Male,27,,In a romantic relationship
8/31/2026 19:14:43,5,4,5,5,2,4,Male,23,,
8/31/2026 19:22:09,1,1,2,3,3,2,Female,,,
8/31/2026 20:04:13,3,3,4,4,4,4,Male,35,United States,Single
8/31/2026 21:03:38,2,3,4,3,3,2,Male,,Mauritius,
8/31/2026 21:35:47,2,2,5,3,2,2,Male,26,,Single
8/31/2026 22:11:21,2,5,4,2,5,5,Male,26,Mexico,Single
8/31/2026 22:52:31,2,4,4,2,1,2,Male,27,Mauritius,In a romantic relationship
8/31/2026 23:03:14,4,4,3,4,5,5,Male,34,Mauritius,Married
9/1/2026 4:07:56,2,2,4,4,5,4,Male,19,Canada,In a romantic relationship
9/1/2026 5:44:54,3,4,5,5,2,3,Male,20,Mauritius,Single
9/1/2026 10:08:28,4,4,4,4,3,3,Male,,,In a romantic relationship
9/1/2026 12:23:51,4,2,4,2,1,3,Male,25,Belgium,In a romantic relationship
9/1/2026 12:44:24,1,1,3,2,5,4,Male,23,Taiwan,Single
9/1/2026 14:09:08,4,4,4,4,4,3,Male,49,Mauritius,Married
9/1/2026 14:47:26,4,4,3,4,4,2,Male,21,Mauritius,Single
9/1/2026 15:07:09,2,4,3,4,5,2,Male,29,Mauritius,In a romantic relationship
9/1/2026 15:35:17,5,5,5,5,3,3,Prefer not to say,,,Single
9/1/2026 15:38:09,4,4,4,3,2,2,Male,,,
9/1/2026 17:14:56,1,5,4,4,4,3,Male,33,Mauritius,Single
9/1/2026 17:26:07,5,5,5,5,5,5,Female,,,
9/1/2026 18:14:11,4,4,5,4,5,5,Male,20,Comoros,In a romantic relationship
9/1/2026 20:21:48,2,3,4,4,1,3,Male,26,United States,Single
9/1/2026 22:18:03,5,5,4,4,5,3,Male,34,Mauritius,Married
9/1/2026 23:24:21,3,3,5,4,2,3,Male,23,Mauritius,In a romantic relationship
9/2/2026 0:17:06,5,5,5,5,1,5,Hahahaha,69,Antigua & Deps,
9/2/2026 2:17:29,3,3,4,4,5,3,Male,26,Canada,In a romantic relationship
9/2/2026 7:28:17,4,4,3,4,5,2,Male,31,Australia,Single
9/2/2026 10:42:58,4,3,5,4,4,3,Male,41,India,Married
9/2/2026 11:20:07,2,3,3,2,3,3,Non-binary,,,
9/2/2026 12:37:52,2,3,3,4,3,4,Non-binary,,China,
9/2/2026 12:38:58,3,3,5,3,5,3,Female,26,Kuwait,Single
9/2/2026 12:46:15,4,3,5,4,4,2,Male,29,Germany,Single
9/2/2026 12:59:06,3,4,4,5,4,4,Male,45,United States,In a romantic relationship
9/2/2026 13:07:58,2,2,3,3,4,3,Male,31,United States,Single
9/2/2026 15:35:03,5,5,5,4,4,3,Female,19,Nigeria,In a romantic relationship
9/2/2026 16:03:40,1,1,5,4,3,1,Male,64,Germany,Married
9/2/2026 16:34:52,5,5,1,5,1,5,Male,28,Mauritius,Married
9/2/2026 17:11:05,3,3,5,3,5,3,Female,26,Kuwait,Single
9/2/2026 19:56:14,3,3,3,3,3,3,this survey ist bullshit,,,
9/2/2026 20:10:01,1,1,4,2,5,5,Male,18,Pakistan,Single
9/2/2026 20:15:00,3,4,5,4,3,3,Male,21,Mauritius,Single
9/2/2026 22:44:11,2,2,4,4,3,4,Male,,United Kingdom,Single
9/3/2026 16:30:17,3,3,5,4,5,2,Male,24,Netherlands,In a romantic relationship
9/3/2026 19:08:06,2,2,5,4,2,1,Male,30,Mauritius,In a romantic relationship
9/3/2026 20:12:35,3,4,5,4,3,3,Male,33,United Kingdom,In a romantic relationship
9/4/2026 6:22:16,4,5,5,5,5,2,Male,31,Mauritius,Married
9/4/2026 19:43:24,2,3,2,3,5,1,Male,22,Mauritius,Single
9/5/2026 23:54:33,3,3,3,4,4,4,Male,20,United Kingdom,Single
9/6/2026 3:35:02,3,1,4,3,4,3,Male,32,Netherlands,Single
9/6/2026 7:07:19,5,4,1,3,5,3,Male,21,Mauritius,Single
9/6/2026 16:22:47,3,3,4,3,1,4,Male,18,Denmark,Single
9/7/2026 0:40:49,5,5,5,4,2,3,Male,47,United States,Married
9/7/2026 3:39:19,2,3,5,4,1,3,Male,21,United States,
9/7/2026 4:02:09,4,4,4,2,2,4,Male,,,Single
9/7/2026 17:56:23,5,5,3,4,5,3,Male,36,United States,Single
9/8/2026 23:44:40,3,3,4,4,4,3,Male,,,
9/11/2026 13:01:26,2,4,5,4,4,5,Male,21,Poland,Single
9/11/2026 17:19:25,2,1,4,3,2,2,Male,,,Single
9/11/2026 18:22:33,4,5,5,5,5,3,Male,,,Married
9/12/2026 23:30:46,4,2,5,3,5,2,Male,,,
9/13/2026 8:40:09,2,4,5,3,5,1,Male,50,France,Married
9/14/2026 21:03:23,4,3,3,4,4,4,Male,23,,Single
9/14/2026 22:19:29,3,4,4,5,2,3,Male,21,United States,Single
9/15/2026 1:19:08,5,3,3,5,3,3,Male,,,Single
9/15/2026 6:25:03,5,3,4,5,4,3,Male,35,France,Single
